Block Name,Point ID,Cp,Mach_0,Mach_1,Mach_2,Mach_Magnitude,P0oPinf0,PoPinf,Points_0,Points_1,Points_2,Points_Magnitude,Result,Utot_0,Utot_1,Utot_2,Utot_Magnitude,arc_length,density,p,pressure,rho,stagnationpressure,u,v,w
unnamed_block_1,561,-0.0714541713097,0,0,0,0,0.989708379027,0.99930700603,0.00223640258504,0,-0.163354589995,0.163369897989,0.00223640258504,0,0,0,0,1.42377386386,1.22131384778,0.713790718593,101254.782386,0.996990896146,101254.782386,0,0,0
unnamed_block_1,562,-0.0622703622123,0,0,0,0,0.989796592116,0.999396074649,-0.00243564301727,0,-0.162947502703,0.162965704963,-0.00243564301727,0,0,0,0,1.42846361121,1.22142270395,0.713854339035,101263.807264,0.997079758329,101263.807264,0,0,0
unnamed_block_1,563,-0.0600035465137,0,0,0,0,0.989818365523,0.999418059224,-0.00746510660042,0,-0.162348675767,0.162520215173,-0.00746510660042,0,0,0,0,1.43352859863,1.22144957264,0.713870042303,101266.034851,0.99710169195,101266.034851,0,0,0
unnamed_block_1,564,-0.0435782001172,0,0,0,0,0.98997613563,0.999577359455,-0.016034018847,0,-0.161318351599,0.162113233029,-0.016034018847,0,0,0,0,1.44215923158,1.22164426314,0.713983828182,101282.175947,0.997260622968,101282.175947,0,0,0
unnamed_block_1,565,-0.0342106720344,0,0,0,0,0.990066113392,0.999668209861,-0.0181049088368,0,-0.161043897226,0.162058398603,-0.0181049088368,0,0,0,0,1.44424822908,1.22175529694,0.714048721329,101291.381364,0.997351262809,101291.381364,0,0,0
unnamed_block_1,566,-0.0142137453485,0,0,0,0,0.99025818954,0.999862148848,-0.0259641606193,0,-0.159874087501,0.161968705283,-0.0259641606193,0,0,0,0,1.45219406405,1.22199232157,0.714187249177,101311.032232,0.9975447523,101311.032232,0,0,0
unnamed_block_1,567,-0.0125434962575,0,0,0,0,0.990274232756,0.999878347658,-0.0265858721029,0,-0.159769167946,0.161966032308,-0.0265858721029,0,0,0,0,1.45282456645,1.22201211912,0.714198819756,101312.673576,0.997560913566,101312.673576,0,0,0
unnamed_block_1,568,0.00524140574492,0,0,0,0,0.99044506178,1.00005083346,-0.0289050940599,1.08420217249e-19,-0.159362122279,0.161962311912,-0.0289050940599,0,0,0,0,1.45517923769,1.2222229245,0.714322023898,101330.1507,0.997732999592,101330.1507,0,0,0
unnamed_block_1,569,0.0355201974328,0,0,0,0,0.990735898156,1.00034449049,-0.0331812947806,0,-0.158576900174,0.16201120823,-0.0331812947806,0,0,0,0,1.45952693437,1.22258182062,0.714531778923,101359.905499,0.998025976013,101359.905499,0,0,0
unnamed_block_1,570,0.0462200780591,0,0,0,0,0.990838673542,1.00044826264,-0.0345505662879,0,-0.158310015635,0.162036423934,-0.0345505662879,0,0,0,0,1.46092197265,1.22270864687,0.714605901885,101370.420212,0.998129507645,101370.420212,0,0,0
